45	49	49	65	45
60	62	63	80	60
80	82	83	100	80
39	52	43	60	65
58	64	58	80	80
78	84	78	109	100
44	48	65	50	43
59	63	80	65	58
79	83	100	85	78
45	30	35	20	45
50	20	55	25	30
60	45	50	90	70
40	35	30	20	50
45	25	50	25	35
65	90	40	45	75
40	45	40	35	56
63	60	55	50	71
83	80	75	70	101
30	56	35	25	72
55	81	60	50	97
40	60	30	31	70
65	90	65	61	100
35	60	44	40	55
60	95	69	65	80
35	55	40	50	90
60	90	55	90	110
50	75	85	20	40
75	100	110	45	65
55	47	52	40	41
70	62	67	55	56
90	92	87	75	76
46	57	40	40	50
61	72	57	55	65
81	102	77	85	85
70	45	48	60	35
95	70	73	95	60
38	41	40	50	65
73	76	75	81	100
115	45	20	45	20
140	70	45	85	45
40	45	35	30	55
75	80	70	65	90
45	50	55	75	30
60	65	70	85	40
75	80	85	110	50
35	70	55	45	25
60	95	80	60	30
60	55	50	40	45
70	65	60	90	90
10	55	25	35	95
35	100	50	50	120
40	45	35	40	90
65	70	60	65	115
50	52	48	65	55
80	82	78	95	85
40	80	35	35	70
65	105	60	60	95
55	70	45	70	60
90	110	80	100	95
40	50	40	40	90
65	65	65	50	90
90	95	95	70	70
25	20	15	105	90
40	35	30	120	105
55	50	45	135	120
70	80	50	35	35
80	100	70	50	45
90	130	80	65	55
50	75	35	70	40
65	90	50	85	55
80	105	65	100	70
40	40	35	50	70
80	70	65	80	100
40	80	100	30	20
55	95	115	45	35
80	120	130	55	45
50	85	55	65	90
65	100	70	80	105
90	65	65	40	15
95	75	110	100	30
25	35	70	95	45
50	60	95	120	70
52	90	55	58	60
35	85	45	35	75
60	110	70	60	110
65	45	55	45	45
90	70	80	70	70
80	80	50	40	25
105	105	75	65	50
30	65	100	45	40
50	95	180	85	70
30	35	30	100	80
45	50	45	115	95
60	65	60	130	110
35	45	160	30	70
60	48	45	43	42
85	73	70	73	67
30	105	90	25	50
55	130	115	50	75
40	30	50	55	100
60	50	70	80	150
60	40	80	60	40
95	95	85	125	55
50	50	95	40	35
60	80	110	50	45
50	120	53	35	87
50	105	79	35	76
90	55	75	60	30
40	65	95	60	35
65	90	120	85	60
80	85	95	30	25
105	130	120	45	40
250	5	5	35	50
65	55	115	100	60
105	95	80	40	90
30	40	70	70	60
55	65	95	95	85
45	67	60	35	63
80	92	65	65	68
30	45	55	70	85
60	75	85	100	115
40	45	65	100	90
70	110	80	55	105
65	50	35	115	95
65	83	57	95	105
65	95	57	100	93
65	125	100	55	85
75	100	95	40	110
20	10	55	15	80
95	125	79	60	81
130	85	80	85	60
48	48	48	48	48
55	55	50	45	55
130	65	60	110	65
65	65	60	110	130
65	130	60	95	65
65	60	70	85	40
35	40	100	90	35
70	60	125	115	55
30	80	90	55	55
60	115	105	65	80
80	105	65	60	130
160	110	65	65	30
90	85	100	95	85
90	90	85	125	100
90	100	90	125	90
41	64	45	50	50
61	84	65	70	70
91	134	95	100	80
106	110	90	154	130
100	100	100	100	100
